City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Rikitea,PF,77.74,Rain,-23.1203,-134.9692,People ThankYou
7,Kavieng,PG,81.68,Rain,-2.5744,150.7967,Nusa Island Retreat
9,Tecoanapa,MX,81.36,Clouds,16.5167,-98.75,Hotel Manglares
14,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Cititel Penang
20,Padang,ID,76.33,Clouds,-0.9492,100.3543,Mercure Padang
26,Riyadh,SA,84.34,Clear,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
28,Saint-Philippe,RE,78.39,Clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
33,Arraial Do Cabo,BR,84.16,Clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Kirakira,SB,79.39,Clouds,-10.4544,161.9205,SanBiz Lodge
39,Bambous Virieux,MU,79.05,Rain,-20.3428,57.7575,Casa Tia Villa
40,Victoria,HK,76.17,Clouds,22.2855,114.1577,Mini Hotel Central
43,Itatiaia,BR,80.46,Clouds,-22.4961,-44.5633,La Ponsa
50,Jertih,MY,76.59,Clouds,5.7336,102.4897,One Utama Hotel
52,Oranjestad,AW,85.95,Clouds,12.524,-70.027,Divi Village Golf & Beach Resort
58,Vaini,TO,80.71,Rain,-21.2,-175.2,Keleti Beach Resort
60,Sailana,IN,85.8,Clear,23.4667,74.9167,Krishna Marriage Garden Sailana
61,Caiaponia,BR,85.03,Clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
65,Manokwari,ID,77.65,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
67,Mahebourg,MU,79.09,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Nisia Floresta,BR,86.81,Clouds,-6.0911,-35.2086,Rancho Crepusculo
84,Gombong,ID,76.37,Rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
89,Kahului,US,76.84,Clear,20.8947,-156.47,Maui Seaside Hotel
