City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,74.19,91,75,12.66,Clouds
1,Cape Town,ZA,-33.9258,18.4232,64.27,74,28,5.01,Clouds
2,Saskylakh,RU,71.9167,114.0833,3.7,98,100,5.39,Clouds
3,Shache,CN,38.4167,77.2406,51.85,54,42,10.98,Clouds
4,Mackay,AU,-21.15,149.2,66.69,94,9,5.75,Clear
5,Rikitea,PF,-23.1203,-134.9692,77.74,68,60,16.98,Rain
6,Werda,BW,-25.2667,23.2833,78.69,35,39,5.19,Clouds
7,Kavieng,PG,-2.5744,150.7967,81.68,77,100,13.94,Rain
8,Shingu,JP,33.7333,135.9833,48.36,88,100,6.26,Rain
9,Tecoanapa,MX,16.5167,-98.75,81.36,51,44,11.12,Clouds
10,Berlevag,NO,70.8578,29.0864,26.55,63,75,12.66,Snow
11,Nome,US,64.5011,-165.4064,26.67,50,0,23.02,Clear
12,Talnakh,RU,69.4865,88.3972,16.21,93,81,5.03,Clouds
13,Kongoussi,BF,13.3258,-1.5347,95.92,5,84,3.42,Clouds
14,Georgetown,MY,5.4112,100.3354,80.53,98,20,5.01,Clouds
15,Punta Arenas,CL,-53.15,-70.9167,53.71,47,75,24.16,Clouds
16,Busselton,AU,-33.65,115.3333,71.2,68,0,11.32,Clear
17,Saint George,US,37.1041,-113.5841,70.63,31,0,3.44,Clear
18,Nyeri,KE,-0.4201,36.9476,60.1,94,100,4.68,Rain
19,Bethel,US,41.3712,-73.414,62.69,80,100,10.36,Clouds
20,Padang,ID,-0.9492,100.3543,76.33,84,26,3.69,Clouds
21,Albany,US,42.6001,-73.9662,57.42,81,92,3.0,Clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,62.62,78,40,11.99,Clouds
23,Pisco,PE,-13.7,-76.2167,73.45,60,0,6.91,Clear
24,New Norfolk,AU,-42.7826,147.0587,54.9,66,70,1.01,Clouds
25,Kruisfontein,ZA,-34.0033,24.7314,64.89,78,100,4.63,Clouds
26,Riyadh,SA,24.6877,46.7219,84.34,10,0,6.51,Clear
27,Chuy,UY,-33.6971,-53.4616,64.74,52,34,14.58,Clouds
28,Saint-Philippe,RE,-21.3585,55.7679,78.39,70,69,14.72,Clouds
29,Oudtshoorn,ZA,-33.5907,22.2014,59.36,77,60,8.34,Clouds
30,Kasane,BW,-17.8167,25.15,72.12,67,97,4.03,Clouds
31,Yellowknife,CA,62.456,-114.3525,17.42,79,100,10.36,Snow
32,Avarua,CK,-21.2078,-159.775,73.45,100,10,3.44,Clear
33,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,78,20,12.66,Clouds
34,Kirakira,SB,-10.4544,161.9205,79.39,84,100,3.27,Clouds
35,Codrington,AU,-38.2667,141.9667,58.86,60,73,14.63,Clouds
36,Ilulissat,GL,69.2167,-51.1,17.11,92,59,4.85,Clouds
37,Leningradskiy,RU,69.3833,178.4167,-6.23,93,97,1.1,Clouds
38,Mataura,NZ,-46.1927,168.8643,44.91,88,100,1.88,Clouds
39,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,16.11,Rain
40,Victoria,HK,22.2855,114.1577,76.17,84,43,15.99,Clouds
41,Hobart,AU,-42.8794,147.3294,55.26,73,100,12.66,Clouds
42,Nikolskoye,RU,59.7035,30.7861,28.29,94,55,2.06,Clouds
43,Itatiaia,BR,-22.4961,-44.5633,80.46,76,87,4.79,Clouds
44,Upernavik,GL,72.7868,-56.1549,17.58,96,100,12.3,Clouds
45,Termoli,IT,41.9888,14.9895,61.57,68,100,19.66,Clouds
46,Arcachon,FR,44.5875,-1.0519,48.52,87,75,11.5,Rain
47,Beringovskiy,RU,63.05,179.3167,4.93,93,100,21.39,Snow
48,Klaksvik,FO,62.2266,-6.589,38.32,61,100,4.45,Clouds
49,Dodge City,US,37.7528,-100.0171,50.25,35,62,8.99,Clouds
50,Jertih,MY,5.7336,102.4897,76.59,91,75,2.93,Clouds
51,Ushuaia,AR,-54.8,-68.3,51.42,62,40,11.5,Clouds
52,Oranjestad,AW,12.524,-70.027,85.95,58,40,21.85,Clouds
53,Roald,NO,62.5833,6.1333,37.54,70,0,4.61,Clear
54,Bluff,NZ,-46.6,168.3333,48.63,62,100,11.12,Clouds
55,Hermanus,ZA,-34.4187,19.2345,64.8,71,49,9.71,Clouds
56,Kargopol,RU,61.5071,38.9456,10.53,97,22,3.24,Clouds
57,Castro,BR,-24.7911,-50.0119,58.15,98,99,8.75,Clouds
58,Vaini,TO,-21.2,-175.2,80.71,77,100,9.46,Rain
59,Sinjar,IQ,36.3209,41.8754,63.72,35,2,6.17,Clear
60,Sailana,IN,23.4667,74.9167,85.8,16,0,7.43,Clear
61,Caiaponia,BR,-16.9567,-51.8103,85.03,51,35,4.65,Clouds
62,Tigre,AR,-34.426,-58.5796,67.26,32,0,10.36,Clear
63,Canasgordas,CO,6.7499,-76.0254,68.18,87,100,0.83,Clouds
64,Airai,TL,-8.9266,125.4092,56.95,85,8,2.01,Clear
65,Manokwari,ID,-0.8667,134.0833,77.65,84,100,4.41,Clouds
66,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,40,9.22,Clouds
67,Mahebourg,MU,-20.4081,57.7,79.09,78,75,16.11,Clouds
68,Lompoc,US,34.6391,-120.4579,63.12,76,75,13.8,Clouds
69,Maarianhamina,AX,60.0973,19.9348,28.26,80,0,3.44,Clear
70,Baruun-Urt,MN,46.6806,113.2792,25.5,31,88,7.47,Clouds
71,Tigil,RU,57.8,158.6667,14.29,96,100,2.44,Clouds
72,Tasiilaq,GL,65.6145,-37.6368,34.3,99,100,7.05,Snow
73,Thanh Hoa,VN,19.8,105.7667,69.57,82,48,13.42,Clouds
74,Nisia Floresta,BR,-6.0911,-35.2086,86.81,58,58,12.33,Clouds
75,Birjand,IR,32.8663,59.2211,55.87,8,0,6.91,Clear
76,Severo-Kurilsk,RU,50.6789,156.125,29.16,87,94,17.31,Snow
77,Lebu,CL,-37.6167,-73.65,56.95,63,6,22.59,Clear
78,Egvekinot,RU,66.3167,-179.1667,2.34,88,90,17.2,Clouds
79,Najran,SA,17.4924,44.1277,72.25,15,0,5.08,Clear
80,Rabo De Peixe,PT,37.8,-25.5833,62.11,88,75,9.22,Clouds
81,Atherton,GB,53.5237,-2.4935,43.99,66,97,4.0,Clouds
82,Zhezkazgan,KZ,47.8043,67.7144,44.53,50,100,4.83,Clouds
83,Zabol,AF,32.25,67.25,58.01,21,0,8.57,Clear
84,Gombong,ID,-7.6072,109.5142,76.37,88,89,3.0,Rain
85,Galeana,MX,24.8333,-100.0667,71.67,20,72,2.26,Clouds
86,Iqaluit,CA,63.7506,-68.5145,28.13,92,100,6.91,Snow
87,Flin Flon,CA,54.7682,-101.865,33.64,51,75,5.75,Clouds
88,Morant Bay,JM,17.8815,-76.4093,90.72,72,20,15.21,Clouds
89,Kahului,US,20.8947,-156.47,76.84,81,0,11.01,Clear
90,Tandil,AR,-37.3217,-59.1332,61.12,47,42,10.45,Clouds
91,Preobrazheniye,RU,42.9019,133.9064,31.93,58,12,9.91,Clouds
92,Kloulklubed,PW,7.0419,134.2556,79.14,82,100,8.23,Clouds
93,Flinders,AU,-34.5833,150.8552,58.17,89,100,8.99,Rain
94,Geraldton,AU,-28.7667,114.6,75.61,78,40,9.22,Rain
95,Leh,IN,34.1667,77.5833,23.31,53,1,6.08,Clear
96,Souillac,MU,-20.5167,57.5167,79.18,78,75,16.11,Clouds
97,Lima,PE,-12.0432,-77.0282,71.85,64,0,9.22,Clear
98,Atar,MR,20.5169,-13.0499,90.84,11,32,11.03,Clouds
99,Barrow,US,71.2906,-156.7887,-16.58,69,0,14.97,Clear
100,Nouadhibou,MR,20.931,-17.0347,75.18,50,0,19.57,Sand
101,Dikson,RU,73.5069,80.5464,7.38,96,53,8.01,Clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,81.61,53,88,3.0,Clouds
103,Vostok,RU,46.4856,135.8833,14.0,97,95,3.89,Snow
104,Fortuna,US,40.5982,-124.1573,51.98,68,20,13.8,Clouds
105,Saldanha,ZA,-33.0117,17.9442,64.45,75,49,24.63,Clouds
